player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_std,projected_fantasy_slope,overall_adp
Marvin Jones Jr.,WR,67,71.75,75.48917402074821,51.95921137028757,-0.5916232294827406,215.0
Jameson Williams,WR,68,71.04,74.90385480337696,54.018205161675716,-0.5792295855135356,165.0
K.J. Osborn,WR,69,72.2,74.3302819851597,55.1483991870017,-0.5681345352286145,225.0
Joshua Palmer,WR,70,71.57,73.76714466025052,57.331018650949815,-0.5583627029513658,223.0
Christian Watson,WR,71,72.24,73.21310729847997,68.37087331767981,-0.5499387130051812,156.0
Curtis Samuel,WR,72,78.85,72.66680974535531,66.19524937637141,-0.5428871897134493,237.0
Parris Campbell,WR,73,78.86,72.12686722206044,65.87671740118473,-0.5372327573995617,242.0
Jamison Crowder,WR,74,77.61,71.5918703254558,52.12179702282807,-0.5330000403869071,234.0
Donovan Peoples-Jones,WR,75,78.73,71.06038502807841,48.72543879968884,-0.5302136629988765,239.0
KJ Hamler,WR,76,78.84,70.53095267814203,49.564947654567334,-0.5288982495588601,251.0
Wan'Dale Robinson,WR,77,78.3,70.00208999953689,45.406933665343324,-0.5290784243902471,217.0
Kendrick Bourne,WR,78,75.53,69.47228909182996,52.21350470264694,-0.5307788118164294,276.0
A.J. Green,WR,79,83.04,68.94001743026463,57.530555807810124,-0.5340240361607953,280.0
Travis Kelce,TE,0,1.16,127.04201199354006,72.7031077556753,-4.107841681997328,14.0
Mark Andrews,TE,1,2.01,123.00646350986065,71.32270177782729,-3.963987519564842,25.0
Kyle Pitts,TE,2,3.01,119.11258443238049,67.22525021646751,-3.8244909232220063,34.0
George Kittle,TE,3,4.5,115.35605303414036,65.93761159021626,-3.6892802147079964,42.0
Darren Waller,TE,4,4.85,111.73261926644183,59.390800260272265,-3.5582837157619873,48.0
Dalton Schultz,TE,5,6.13,108.23810475884733,55.32336747603935,-3.4314297481231555,63.0
T.J. Hockenson,TE,6,7.6,104.86840281918006,55.24330477281588,-3.3086466335306763,67.0
Dallas Goedert,TE,7,7.77,101.61947843352414,51.00399810036683,-3.1898626937237253,77.0
Zach Ertz,TE,8,9.33,98.48736826622438,50.526404977991454,-3.0750062504414784,96.0
Dawson Knox,TE,9,11.08,95.46818065988654,44.40812037854738,-2.9640056254231117,91.0
Pat Freiermuth,TE,10,12.02,92.55809563537714,50.73801566215743,-2.8567891404078,120.0
Cole Kmet,TE,11,12.7,89.75336489182354,51.92056421967012,-2.75328511713472,134.0
Hunter Henry,TE,12,14.46,87.0503118066139,56.52831591335443,-2.6534218773430474,169.0
Mike Gesicki,TE,13,15.14,84.44533143539725,50.7565689235284,-2.557127742771957,110.0
Irv Smith Jr.,TE,14,16.4,81.9348905120834,51.12482588940741,-2.464331035160625,161.0
Noah Fant,TE,15,17.6,79.51552744884302,50.31821009005256,-2.374960076248227,177.0
Albert Okwuegbunam,TE,16,16.48,77.18385233610758,55.70156151810787,-2.28894318777394,137.0
Robert Tonyan,TE,17,19.21,74.93654694256938,51.49333031244597,-2.206208691476938,183.0
Gerald Everett,TE,18,19.66,72.77036471518154,53.640889150804426,-2.1266849090963973,198.0
Tyler Higbee,TE,19,20.12,70.68213077915803,46.810913850891176,-2.050300162371494,222.0
David Njoku,TE,20,18.47,68.6687419379736,47.58222835844865,-1.976982773041403,175.0
Evan Engram,TE,21,21.84,66.72716667336388,43.81109258319557,-1.9066610628453011,184.0
Austin Hooper,TE,22,22.29,64.85444514532529,43.438818277358024,-1.8392633535223628,231.0
Logan Thomas,TE,23,23.95,63.04768919211505,41.21644278143804,-1.7747179668117652,232.0
Hayden Hurst,TE,24,24.21,61.304082330251276,46.863262085916865,-1.7129532244526833,220.0
Jonnu Smith,TE,25,28.92,59.6208797545128,43.521787136508486,-1.6538974481842925,275.0
Brevin Jordan,TE,26,27.01,57.995408337939395,44.57277706802164,-1.5974789597457693,268.0
Adam Trautman,TE,27,30.68,56.425066631831584,35.29141239577823,-1.5436260808762885,306.0
Mo Alie-Cox,TE,28,28.72,54.90732486575074,37.230988287834755,-1.4922671333150266,301.0
Dan Arnold,TE,29,31.8,53.43972494751907,39.886496740403544,-1.4433304388011594,370.0
C.J. Uzomah,TE,30,32.31,52.019880463219565,36.04827396083695,-1.396744319073861,283.0
O.J. Howard,TE,31,36.49,50.645476677196086,36.29696344813924,-1.3524370958723098,329.0
Trey McBride,TE,32,34.3,49.3142705320533,38.12561635203059,-1.31033709093568,288.0
Cameron Brate,TE,33,30.53,48.02409064865671,42.918214341025674,-1.2703726260031476,182.0
Kyle Rudolph,TE,34,33.25,46.77283732613259,41.79450468927969,-1.2324720228138877,250.0
Greg Dulcich,TE,35,34.92,45.558482541868116,38.277081770804955,-1.1965636031070757,312.0
Tyler Conklin,TE,36,35.56,44.37906995151121,31.895764434935383,-1.1625756886218892,348.0
Daniel Bellinger,TE,37,36.2,43.23271488897073,36.215249360210436,-1.1304366010975029,311.0
Harrison Bryant,TE,38,36.63,42.11760436641622,31.44759258759811,-1.1000746622730926,-1.0
Anthony Firkser,TE,39,41.7,41.031997074278166,33.28730518113809,-1.0714181938878329,-1.0
Ricky Seals-Jones,TE,40,38.83,39.97422338124777,27.336601633869723,-1.0443955176809014,321.0
Tommy Tremble,TE,41,37.68,38.942685334277186,28.41760115765501,-1.0189349553914733,359.0
Donald Parham Jr.,TE,42,40.0,37.935856658579254,28.351143421973887,-0.9949648287587234,403.0
Cade Otton,TE,43,44.39,36.952282757627785,28.667783699166947,-0.9724134595218281,320.0
Jared Cook,TE,44,40.66,35.99058071315724,31.197232070952847,-0.9512091694199629,374.0
Jelani Woods,TE,45,42.41,35.04943928516313,27.46222557137956,-0.9312802801923041,307.0
Foster Moreau,TE,46,44.05,34.12761891190152,33.01305280575481,-0.9125551135780268,309.0
Kylen Granson,TE,47,47.06,33.223951709889576,32.499144604127665,-0.8949619913163076,-1.0
John Bates,TE,48,44.48,32.33734147390504,37.2821524175964,-0.8784292351463208,-1.0
Josiah Deguara,TE,49,47.41,31.466763676986602,40.10402806036654,-0.8628851668072421,330.0
Isaiah Likely,TE,50,51.0,30.611265470433835,48.03175674026046,-0.848258108038249,399.0
Juwan Johnson,TE,51,53.75,29.769965683807015,45.657583038186424,-0.8344763805785158,389.0
Jeremy Ruckert,TE,52,54.96,28.942054824927325,40.09196095644778,-0.821468306167219,-1.0
Eric Ebron,TE,53,44.67,28.1267950798767,20.415147970726704,-0.809162206543534,-1.0
Pharaoh Brown,TE,54,46.0,27.323520312997985,20.54151379253459,-0.7974864034466362,410.0
Ian Thomas,TE,55,54.24,26.53163606689479,19.446171002710706,-0.7863692186157012,-1.0
Will Dissly,TE,56,51.31,25.750619562431552,17.43864673648732,-0.775738973789907,-1.0
Blake Jarwin,TE,57,45.0,24.980019698733514,15.345725427261133,-0.7655239907084255,-1.0
